host_id,region,disk_usage,network_errors,uptime_hours,log_time
SRV_215,Mumbai,101.0,,1652,2026-05-23 10:00:00
SRV_216,Pune,67.94,3.0,114,2026-05-26 11:56:00
SRV_217,Chennai,78.02,4.0,138,2026-05-26 11:57:00
SRV_218,Chennai,89.93,6.0,715,2026-05-26 11:58:00
SRV_219,Mumbai,42.77,,728,2026-05-26 11:59:00
SRV_220,Delhi,55.83,,150,2026-05-26 12:00:00
SRV_221,Hyderabad,86.52,5.0,1813,2026-05-26 12:01:00
SRV_222,Mumbai,82.01,,1363,2026-05-26 12:02:00
SRV_223,Delhi,,6.0,934,2026-05-26 12:03:00
SRV_224,Hyderabad,48.68,,1040,2026-05-26 12:04:00
SRV_225,Chennai,,4.0,641,2026-05-26 12:05:00
SRV_226,Delhi,55.22,,1200,2026-05-26 12:06:00
SRV_227,Chennai,51.71,,1268,2026-05-26 12:07:00
SRV_228,Bangalore,54.3,,609,2026-05-26 12:08:00
SRV_229,Chennai,69.2,,1132,2026-05-26 12:09:00
SRV_230,Chennai,,5.0,689,2026-05-26 12:10:00
SRV_231,Delhi,65.03,0.0,1938,2026-05-26 12:11:00
SRV_232,Mumbai,29.82,0.0,1770,2026-05-26 12:12:00
SRV_233,Delhi,72.08,,637,2026-05-26 12:13:00
SRV_234,Bangalore,62.2,1.0,867,2026-05-26 12:14:00
SRV_235,Delhi,-10.0,,668,2026-05-26 12:15:00
SRV_236,Mumbai,37.98,,1324,2026-05-26 12:16:00
SRV_237,Hyderabad,97.79,7.0,236,2026-05-26 12:17:00
SRV_238,Hyderabad,80.73,,1385,2026-05-26 12:18:00
SRV_239,Bangalore,74.86,1.0,221,2026-05-26 12:19:00
SRV_240,Chennai,64.58,2.0,883,2026-05-26 12:20:00
SRV_241,Hyderabad,34.14,2.0,1177,2026-05-26 12:21:00
SRV_242,Pune,101.0,10.0,1282,2026-05-26 12:22:00
SRV_243,Mumbai,51.15,,446,2026-05-26 12:23:00
SRV_244,Mumbai,52.52,1.0,1203,2026-05-26 12:24:00
SRV_245,Chennai,20.13,,1775,2026-05-24 10:00:00
SRV_246,Mumbai,54.13,10.0,742,2026-05-26 12:26:00
SRV_247,Pune,35.44,,1167,2026-05-26 12:27:00
SRV_248,Pune,101.0,5.0,1492,2026-05-26 12:28:00
SRV_249,Hyderabad,25.77,9.0,1814,2026-05-25 10:00:00
SRV_250,Pune,22.92,,424,2026-05-26 12:30:00
SRV_251,Delhi,78.19,,894,2026-05-26 12:31:00
SRV_252,Bangalore,96.52,,832,2026-05-26 12:32:00
SRV_253,Mumbai,41.16,,1304,2026-05-26 12:33:00
SRV_254,Chennai,37.44,,638,INVALID_DATE
SRV_255,Hyderabad,87.7,,976,2026-05-26 12:35:00
SRV_256,Delhi,21.57,,784,2026-05-26 12:36:00
SRV_257,Hyderabad,47.32,5.0,446,2026-05-21 10:00:00
SRV_258,Delhi,91.66,10.0,724,2026-05-26 12:38:00
SRV_259,Hyderabad,41.91,8.0,684,INVALID_DATE
SRV_260,Chennai,61.48,,888,2026-05-26 12:40:00
SRV_261,Chennai,64.1,,150,2026-05-26 12:41:00
SRV_262,Bangalore,52.51,4.0,617,2026-05-26 12:42:00
SRV_263,Chennai,-10.0,,891,2026-05-26 12:43:00
SRV_264,Mumbai,28.41,8.0,552,2026-05-26 12:44:00
SRV_265,Bangalore,101.0,,853,2026-05-26 12:45:00
SRV_266,Hyderabad,35.54,8.0,962,2026-05-26 12:46:00
SRV_267,Delhi,52.67,4.0,1515,2026-05-26 12:47:00
SRV_268,Bangalore,69.3,,1074,2026-05-26 12:48:00
SRV_269,Delhi,43.87,,64,2026-05-26 12:49:00
SRV_270,Mumbai,42.36,,733,2026-05-26 12:50:00
SRV_271,Mumbai,90.9,,1651,2026-05-26 12:51:00
SRV_272,Hyderabad,58.68,2.0,1734,INVALID_DATE
SRV_273,Delhi,49.17,4.0,1909,2026-05-26 12:53:00
SRV_274,Delhi,37.34,,1039,2026-05-26 12:54:00
SRV_275,Chennai,92.4,8.0,1302,2026-05-26 12:55:00
SRV_276,Mumbai,36.87,4.0,1188,2026-05-26 12:56:00
SRV_277,Delhi,68.94,8.0,1525,2026-05-26 12:57:00
SRV_278,Hyderabad,54.83,,648,2026-05-26 12:58:00
SRV_279,Delhi,47.98,,1781,2026-05-26 12:59:00
SRV_280,Bangalore,72.27,10.0,999,2026-05-26 13:00:00
SRV_281,Mumbai,101.0,,1643,2026-05-26 13:01:00
SRV_282,Mumbai,25.61,2.0,1895,2026-05-26 13:02:00
SRV_283,Delhi,33.14,3.0,1523,2026-05-26 13:03:00
SRV_284,Hyderabad,20.59,3.0,1716,2026-05-26 13:04:00
SRV_285,Chennai,54.93,7.0,435,2026-05-26 13:05:00
SRV_286,Pune,62.08,3.0,772,2026-05-26 13:06:00
SRV_287,Chennai,53.84,,1498,2026-05-26 13:07:00
SRV_288,Chennai,23.6,8.0,493,2026-05-26 13:08:00
SRV_289,Bangalore,43.19,,1457,2026-05-26 13:09:00
SRV_290,Hyderabad,150.0,6.0,143,2026-05-26 13:10:00
SRV_291,Delhi,70.54,6.0,278,2026-05-25 10:00:00
SRV_292,Delhi,60.11,6.0,959,2026-05-26 13:12:00
SRV_293,Delhi,101.0,,871,2026-05-26 13:13:00
SRV_294,Delhi,26.16,3.0,1652,2026-05-26 13:14:00
SRV_295,Bangalore,33.83,9.0,1506,2026-05-26 13:15:00
SRV_296,Hyderabad,64.54,5.0,1526,2026-05-26 13:16:00
SRV_297,Delhi,67.29,0.0,1874,2026-05-26 13:17:00
SRV_298,Delhi,53.49,,323,INVALID_DATE
SRV_299,Delhi,-10.0,,1411,2026-05-26 13:19:00
SRV_300,Mumbai,60.14,3.0,589,2026-05-26 13:20:00
SRV_301,Mumbai,65.81,,850,2026-05-26 13:21:00
SRV_302,Mumbai,84.88,0.0,1514,2026-05-26 13:22:00
SRV_303,Delhi,82.83,,133,2026-05-26 13:23:00
SRV_304,Mumbai,,6.0,67,2026-05-26 13:24:00
SRV_305,Chennai,85.61,,182,2026-05-26 13:25:00
SRV_306,Hyderabad,78.57,,602,2026-05-26 13:26:00
SRV_307,Delhi,28.33,7.0,1973,2026-05-26 13:27:00
SRV_308,Delhi,-10.0,,256,2026-05-26 13:28:00
SRV_309,Hyderabad,,,1638,2026-05-26 13:29:00
SRV_310,Hyderabad,76.16,,1641,2026-05-26 13:30:00
SRV_311,Delhi,80.5,,248,2026-05-26 13:31:00
SRV_312,Bangalore,150.0,,1145,2026-05-26 13:32:00
SRV_313,Delhi,37.28,,770,2026-05-26 13:33:00
SRV_314,Hyderabad,-10.0,8.0,727,2026-05-26 13:34:00
SRV_315,Hyderabad,54.93,5.0,1867,2026-05-26 13:35:00
SRV_316,Pune,40.58,,1605,2026-05-26 13:36:00
SRV_317,Hyderabad,20.12,,636,2026-05-26 13:37:00
SRV_318,Mumbai,33.92,,1627,2026-05-26 13:38:00
SRV_319,Hyderabad,101.0,,278,2026-05-26 13:39:00
SRV_320,Bangalore,62.69,,844,2026-05-26 13:40:00
SRV_321,Hyderabad,29.42,,317,INVALID_DATE
SRV_322,Pune,33.98,8.0,212,2026-05-26 13:42:00
SRV_323,Hyderabad,28.21,1.0,147,2026-05-26 13:43:00
SRV_324,Hyderabad,28.9,5.0,273,2026-05-26 13:44:00
SRV_325,Mumbai,57.15,9.0,1233,2026-05-26 13:45:00
SRV_326,Bangalore,55.69,,1052,INVALID_DATE
SRV_327,Pune,80.87,,1890,2026-05-26 13:47:00
SRV_328,Delhi,79.63,,139,2026-05-26 13:48:00
SRV_329,Hyderabad,69.87,3.0,1277,2026-05-26 13:49:00
SRV_330,Mumbai,60.64,,1796,2026-05-26 13:50:00
SRV_331,Hyderabad,74.65,,1232,2026-05-26 13:51:00
SRV_332,Hyderabad,68.34,,212,2026-05-26 13:52:00
SRV_333,Mumbai,37.84,,1599,2026-05-26 13:53:00
SRV_334,Hyderabad,30.54,10.0,1300,2026-05-26 13:54:00
SRV_335,Mumbai,65.73,1.0,1218,2026-05-26 13:55:00
SRV_336,Delhi,46.38,,481,2026-05-26 13:56:00
SRV_337,Chennai,150.0,,1273,2026-05-24 10:00:00
SRV_338,Delhi,29.97,,1903,2026-05-26 13:58:00
SRV_339,Mumbai,89.35,,1393,2026-05-26 13:59:00
SRV_340,Chennai,60.87,6.0,1592,2026-05-26 14:00:00
SRV_341,Bangalore,78.77,,796,2026-05-26 14:01:00
SRV_342,Bangalore,23.5,4.0,727,2026-05-26 14:02:00
SRV_343,Chennai,56.07,,720,2026-05-26 14:03:00
SRV_344,Hyderabad,101.0,,1405,2026-05-26 14:04:00
SRV_345,Bangalore,32.68,0.0,1601,2026-05-26 14:05:00
SRV_346,Mumbai,70.02,5.0,1698,2026-05-26 14:06:00
SRV_347,Chennai,96.36,,986,2026-05-26 14:07:00
SRV_348,Bangalore,98.18,1.0,1003,2026-05-26 14:08:00
SRV_349,Delhi,61.34,0.0,1880,2026-05-26 14:09:00
SRV_350,Chennai,40.25,,893,2026-05-26 14:10:00
SRV_351,Hyderabad,71.44,5.0,1352,2026-05-21 10:00:00
SRV_352,Mumbai,40.89,,1994,2026-05-26 14:12:00
SRV_353,Chennai,27.95,,979,2026-05-26 14:13:00
SRV_354,Pune,57.27,,70,2026-05-26 14:14:00
SRV_355,Chennai,150.0,0.0,1878,2026-05-26 14:15:00
SRV_356,Delhi,,,1727,2026-05-26 14:16:00
SRV_357,Chennai,74.06,,1119,2026-05-26 14:17:00
SRV_358,Chennai,37.71,4.0,1844,2026-05-26 14:18:00
SRV_359,Delhi,41.35,6.0,737,2026-05-26 14:19:00
SRV_360,Hyderabad,101.0,0.0,1576,2026-05-26 14:20:00
SRV_361,Bangalore,,,915,2026-05-26 14:21:00
SRV_362,Pune,68.47,0.0,776,2026-05-26 14:22:00
SRV_363,Pune,75.85,,1905,2026-05-26 14:23:00
SRV_364,Bangalore,26.47,7.0,1043,2026-05-26 14:24:00
SRV_365,Chennai,65.69,,595,2026-05-26 14:25:00
SRV_366,Bangalore,85.11,1.0,692,2026-05-26 14:26:00
SRV_367,Pune,150.0,,305,2026-05-26 14:27:00
SRV_368,Pune,97.0,1.0,1660,2026-05-26 14:28:00
SRV_369,Hyderabad,90.36,,555,2026-05-26 14:29:00
SRV_370,Mumbai,150.0,,1828,2026-05-26 14:30:00
SRV_371,Mumbai,101.0,3.0,1991,2026-05-26 14:31:00
SRV_372,Chennai,35.53,,643,2026-05-26 14:32:00
SRV_373,Pune,48.32,0.0,1076,2026-05-26 14:33:00
SRV_374,Bangalore,39.61,,1330,2026-05-26 14:34:00
SRV_375,Mumbai,70.72,9.0,226,2026-05-26 14:35:00
SRV_376,Delhi,56.98,,619,2026-05-26 14:36:00
SRV_377,Chennai,22.27,7.0,181,2026-05-26 14:37:00
SRV_378,Pune,35.88,2.0,311,2026-05-26 14:38:00
SRV_379,Delhi,101.0,,920,2026-05-26 14:39:00
SRV_380,Chennai,91.03,,1134,2026-05-26 14:40:00
SRV_381,Chennai,81.89,,795,2026-05-26 14:41:00
SRV_382,Bangalore,95.46,9.0,741,2026-05-26 14:42:00
SRV_383,Chennai,88.76,,1193,2026-05-26 14:43:00
SRV_384,Delhi,29.66,0.0,1950,2026-05-26 14:44:00
SRV_385,Bangalore,62.8,,415,2026-05-26 14:45:00
SRV_386,Delhi,37.99,9.0,1113,2026-05-26 14:46:00
SRV_387,Bangalore,60.79,,1263,2026-05-26 14:47:00
SRV_388,Bangalore,37.96,10.0,1459,INVALID_DATE
SRV_389,Bangalore,54.68,,1283,2026-05-26 14:49:00
SRV_390,Hyderabad,60.47,5.0,235,2026-05-26 14:50:00
SRV_391,Mumbai,50.27,1.0,297,2026-05-26 14:51:00
SRV_392,Delhi,75.09,8.0,1610,2026-05-26 14:52:00
SRV_393,Hyderabad,78.35,,1042,2026-05-26 14:53:00
SRV_394,Chennai,25.69,,340,2026-05-26 14:54:00
SRV_395,Chennai,57.24,3.0,1327,2026-05-26 14:55:00
SRV_396,Pune,74.76,,188,2026-05-26 14:56:00
SRV_397,Pune,39.01,,307,2026-05-26 14:57:00
SRV_398,Bangalore,85.17,,139,2026-05-26 14:58:00
SRV_399,Hyderabad,73.43,10.0,1665,2026-05-26 14:59:00
SRV_400,Hyderabad,74.28,,1623,2026-05-26 15:00:00
SRV_401,Bangalore,56.89,,1118,2026-05-26 15:01:00
SRV_402,Bangalore,41.03,,1775,2026-05-26 15:02:00
SRV_403,Chennai,26.33,,673,2026-05-26 15:03:00
SRV_404,Bangalore,75.94,0.0,1529,2026-05-26 15:04:00
SRV_405,Chennai,73.1,10.0,1394,2026-05-26 15:05:00
SRV_406,Hyderabad,71.19,6.0,85,2026-05-26 15:06:00
SRV_407,Pune,75.87,,1747,2026-05-26 15:07:00
SRV_408,Hyderabad,79.2,,505,INVALID_DATE
SRV_409,Delhi,61.83,2.0,1451,2026-05-26 15:09:00
SRV_410,Pune,73.03,,1889,2026-05-26 15:10:00
SRV_411,Hyderabad,-10.0,,1702,2026-05-26 15:11:00
SRV_412,Delhi,86.04,,1862,2026-05-26 15:12:00
SRV_413,Delhi,52.4,,1159,2026-05-26 15:13:00
SRV_414,Mumbai,83.87,,938,2026-05-26 15:14:00
SRV_415,Mumbai,92.65,,1471,2026-05-26 15:15:00
SRV_416,Mumbai,70.5,,179,2026-05-26 15:16:00
SRV_417,Delhi,45.99,,1516,2026-05-26 15:17:00
SRV_418,Pune,64.71,6.0,1302,2026-05-26 15:18:00
SRV_419,Delhi,-10.0,,1796,2026-05-26 15:19:00
SRV_420,Delhi,97.19,5.0,1737,2026-05-26 15:20:00
SRV_421,Mumbai,33.78,,1079,2026-05-26 15:21:00
SRV_422,Delhi,64.03,5.0,431,2026-05-26 15:22:00
SRV_423,Hyderabad,80.28,,516,2026-05-26 15:23:00
SRV_424,Bangalore,40.31,0.0,1105,2026-05-26 15:24:00
SRV_425,Delhi,82.8,6.0,833,2026-05-26 15:25:00
SRV_426,Mumbai,,7.0,1370,2026-05-26 15:26:00
SRV_427,Mumbai,67.22,7.0,813,2026-05-26 15:27:00
SRV_428,Mumbai,48.25,3.0,1759,2026-05-26 15:28:00
SRV_429,Hyderabad,37.01,9.0,843,2026-05-26 15:29:00
SRV_430,Chennai,87.48,8.0,1733,INVALID_DATE
SRV_431,Hyderabad,54.06,5.0,118,2026-05-26 15:31:00
SRV_432,Mumbai,45.13,,1999,2026-05-26 15:32:00
SRV_433,Bangalore,61.89,,1385,2026-05-26 15:33:00
SRV_434,Mumbai,32.53,6.0,423,2026-05-26 15:34:00
SRV_435,Hyderabad,22.53,10.0,539,2026-05-26 15:35:00
SRV_436,Mumbai,77.08,,1429,2026-05-26 15:36:00
SRV_437,Mumbai,85.74,1.0,1928,2026-05-26 15:37:00
SRV_438,Bangalore,101.0,1.0,881,2026-05-26 15:38:00
SRV_439,Mumbai,101.0,,413,2026-05-26 15:39:00
SRV_440,Pune,53.77,8.0,966,2026-05-26 15:40:00
SRV_441,Chennai,41.28,3.0,1257,2026-05-26 15:41:00
SRV_442,Mumbai,96.82,,282,2026-05-26 15:42:00
SRV_443,Mumbai,22.02,,1840,2026-05-21 10:00:00
SRV_444,Delhi,85.74,,1464,2026-05-26 15:44:00
SRV_445,Delhi,150.0,,251,2026-05-26 15:45:00
SRV_446,Hyderabad,42.66,4.0,1546,2026-05-26 15:46:00
SRV_447,Mumbai,82.89,10.0,62,2026-05-26 15:47:00
SRV_448,Mumbai,-10.0,7.0,1938,2026-05-26 15:48:00
SRV_449,Chennai,150.0,5.0,1794,2026-05-26 15:49:00
SRV_450,Mumbai,38.24,,704,2026-05-26 15:50:00
SRV_451,Bangalore,54.99,5.0,1849,INVALID_DATE
SRV_452,Pune,74.74,1.0,1648,2026-05-26 15:52:00
SRV_453,Delhi,83.19,6.0,980,INVALID_DATE
SRV_454,Delhi,,3.0,1247,2026-05-26 15:54:00
SRV_455,Delhi,101.0,,1822,2026-05-26 15:55:00
SRV_456,Pune,150.0,,639,2026-05-26 15:56:00
SRV_457,Mumbai,64.49,5.0,1659,2026-05-26 15:57:00
SRV_458,Pune,40.01,,1381,2026-05-26 15:58:00
SRV_459,Bangalore,38.92,7.0,751,2026-05-26 15:59:00
SRV_460,Delhi,58.61,,497,2026-05-26 16:00:00
SRV_461,Pune,70.0,4.0,1443,2026-05-26 16:01:00
SRV_462,Delhi,57.13,2.0,1354,2026-05-26 16:02:00
SRV_463,Bangalore,50.95,7.0,103,2026-05-26 16:03:00
SRV_464,Pune,62.15,,981,2026-05-26 16:04:00
SRV_465,Delhi,42.06,,971,2026-05-26 16:05:00
SRV_466,Mumbai,84.13,,805,2026-05-26 16:06:00
SRV_467,Mumbai,,,449,2026-05-26 16:07:00
SRV_468,Hyderabad,79.26,,650,2026-05-26 16:08:00
SRV_469,Delhi,61.54,,177,2026-05-26 16:09:00
SRV_470,Bangalore,78.94,10.0,311,2026-05-26 16:10:00
SRV_471,Chennai,21.8,,813,INVALID_DATE
SRV_472,Mumbai,40.46,0.0,263,2026-05-26 16:12:00
SRV_473,Bangalore,101.0,4.0,146,2026-05-26 16:13:00
SRV_474,Hyderabad,37.34,9.0,1358,2026-05-26 16:14:00
SRV_475,Pune,67.04,,747,2026-05-26 16:15:00
SRV_476,Chennai,44.03,3.0,1499,2026-05-26 16:16:00
SRV_477,Mumbai,42.18,,1807,2026-05-26 16:17:00
SRV_478,Delhi,31.59,9.0,1924,2026-05-26 16:18:00
SRV_479,Pune,95.31,5.0,569,2026-05-26 16:19:00
SRV_480,Delhi,28.12,,747,2026-05-21 10:00:00
SRV_481,Chennai,87.33,,1440,INVALID_DATE
SRV_482,Chennai,,,229,INVALID_DATE
SRV_483,Pune,82.26,,440,2026-05-26 16:23:00
SRV_484,Delhi,95.16,2.0,125,2026-05-26 16:24:00
SRV_485,Pune,30.21,,770,2026-05-26 16:25:00
SRV_486,Bangalore,28.13,6.0,771,2026-05-26 16:26:00
SRV_487,Mumbai,29.95,0.0,1824,2026-05-26 16:27:00
SRV_488,Pune,85.75,,1897,2026-05-26 16:28:00
SRV_489,Bangalore,36.7,6.0,1159,2026-05-26 16:29:00
SRV_490,Delhi,25.01,3.0,255,2026-05-26 16:30:00
SRV_491,Bangalore,47.6,,1756,2026-05-26 16:31:00
SRV_492,Pune,43.74,,923,2026-05-26 16:32:00
SRV_493,Delhi,60.49,,969,2026-05-26 16:33:00
SRV_494,Chennai,73.98,,942,2026-05-26 16:34:00
SRV_495,Hyderabad,57.5,,1266,2026-05-26 16:35:00
SRV_496,Hyderabad,44.27,10.0,1333,2026-05-26 16:36:00
SRV_497,Pune,66.14,,1523,2026-05-26 16:37:00
SRV_498,Mumbai,22.56,,1795,2026-05-26 16:38:00
SRV_499,Hyderabad,68.81,5.0,1864,2026-05-26 16:39:00
SRV_500,Hyderabad,98.12,0.0,1769,2026-05-26 16:40:00
SRV_501,Bangalore,20.84,3.0,1914,2026-05-26 16:41:00
SRV_502,Chennai,95.5,,513,2026-05-26 16:42:00
SRV_503,Hyderabad,95.87,,1540,2026-05-26 16:43:00
SRV_504,Pune,80.2,1.0,1409,2026-05-26 16:44:00
SRV_505,Chennai,,,1046,2026-05-26 16:45:00
SRV_506,Delhi,20.77,,1388,2026-05-26 16:46:00
SRV_507,Pune,86.34,3.0,688,2026-05-26 16:47:00
SRV_508,Mumbai,65.54,0.0,1232,2026-05-26 16:48:00
SRV_509,Pune,83.52,,139,2026-05-26 16:49:00
SRV_510,Delhi,46.2,,1627,2026-05-26 16:50:00
SRV_511,Mumbai,93.72,1.0,148,2026-05-26 16:51:00
SRV_512,Pune,28.77,,1895,INVALID_DATE
SRV_513,Mumbai,37.87,,769,2026-05-26 16:53:00
SRV_514,Mumbai,58.71,,1289,2026-05-26 16:54:00
SRV_515,Mumbai,97.58,0.0,660,2026-05-26 16:55:00
SRV_516,Mumbai,64.93,,683,2026-05-26 16:56:00
SRV_517,Pune,47.04,10.0,596,2026-05-26 16:57:00
SRV_518,Chennai,53.15,6.0,1480,2026-05-26 16:58:00
